Place;FirstName;LastName;Car Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Track;Place,FirstName,LastName,Class,Car Number,Car,Car Model,Laps,Best S1,Best S2,Best S3,Best lap,Best lap (ms),Ideal Best lap,Total Race Time,Lap Date,SteamId
;;;;;;;;;;;;;;;;;Misano;0,,EQR Apex,Unknown,53,Ginetta G55 GT4,56,24,25.353,40.128,35.946,01:41.772,101772,01:41.427,40:42.528,2025-05-28,M2535440311354763
;;;;;;;;;;;;;;;;;Misano;0,,AMS DR1VE,Am/reserve,33,Ginetta G55 GT4,56,24,25.247,40.242,35.995,01:41.812,101812,01:41.484,40:43.488,2025-05-28,M2535459005860319
;;;;;;;;;;;;;;;;;Misano;0,,UGC Luke,Unknown,69,Ginetta G55 GT4,56,24,25.434,40.461,36.282,01:42.384,102384,01:42.177,40:57.216,2025-05-28,M2535460166046909
;;;;;;;;;;;;;;;;;Misano;0,,Tos F,Unknown,747,Ginetta G55 GT4,56,24,25.500,40.652,36.135,01:42.610,102610,01:42.287,41:02.640,2025-05-28,M2533274825104371
;;;;;;;;;;;;;;;;;Misano;0,,Y2004DTI,Am/reserve,550,Ginetta G55 GT4,56,24,25.597,40.577,36.352,01:42.887,102887,01:42.526,41:09.288,2025-05-28,M2535428245246604
;;;;;;;;;;;;;;;;;Misano;0,,Imagine Sphax,Pro,23,Ginetta G55 GT4,56,24,25.686,40.815,36.372,01:43.230,103230,01:42.873,41:17.520,2025-05-28,M2533274876472342
;;;;;;;;;;;;;;;;;Misano;0,,BoAPrawnStar,Pro,88,Ginetta G55 GT4,56,24,25.657,40.887,36.547,01:43.207,103207,01:43.091,41:16.968,2025-05-28,M2535426324983035
;;;;;;;;;;;;;;;;;Misano;0,,BadBen80,Pro,80,Ginetta G55 GT4,56,24,25.570,40.552,36.325,01:42.717,102717,01:42.447,41:05.208,2025-05-28,M2562092466593675
;;;;;;;;;;;;;;;;;Misano;0,,dmoney69812,Am/reserve,777,Ginetta G55 GT4,56,24,25.914,40.836,36.591,01:43.662,103662,01:43.341,41:27.888,2025-05-28,M2533274853814129
;;;;;;;;;;;;;;;;;Misano;0,,bmatthew717,Unknown,42,Ginetta G55 GT4,56,24,25.491,40.488,36.270,01:42.435,102435,01:42.249,40:58.440,2025-05-28,M2535456990131789
;;;;;;;;;;;;;;;;;Misano;0,,KingWise76,Silver,144,Ginetta G55 GT4,56,24,26.115,40.800,36.798,01:44.301,104301,01:43.713,41:43.224,2025-05-28,M2535464171877570
;;;;;;;;;;;;;;;;;Misano;0,,TAAT GUNA,Unknown,201,Ginetta G55 GT4,56,24,25.790,40.620,36.532,01:43.195,103195,01:42.942,41:16.680,2025-05-28,M2533274817407265
;;;;;;;;;;;;;;;;;Misano;0,,Racingrich#2732,Am/reserve,89,Ginetta G55 GT4,56,23,25.842,40.977,36.705,01:43.680,103680,01:43.524,39:44.640,2025-05-28,M2535454029768367
;;;;;;;;;;;;;;;;;Misano;0,,AMS Martinez,Silver,27,Ginetta G55 GT4,56,20,25.595,40.625,36.345,01:42.632,102632,01:42.565,34:12.640,2025-05-28,M2535439618096780
;;;;;;;;;;;;;;;;;Misano;0,,ryanpatrickw,Unknown,15,Ginetta G55 GT4,56,17,25.602,40.637,36.445,01:42.967,102967,01:42.684,29:10.439,2025-05-28,M2535412775133805
;;;;;;;;;;;;;;;;;Misano;0,,Thebadden#6350,Am/reserve,260,Ginetta G55 GT4,56,7,27.255,41.469,37.893,01:46.812,106812,01:46.617,12:27.684,2025-05-28,M2535468859834853
0.0;Toby;Cirel;Am/reserve;33.0;BMW M4 GT3 2022;26.0;42.0;34.817;37.637;34.795;01:47.482;107482.0;01:47.249;75:14.244;2025-07-20;M2535459005860319;Monza;
0.0;Benjamin;Matthew;Unknown;42.0;Ferrari 296 GT3;32.0;42.0;34.899;37.617;34.965;01:47.709;107709.0;01:47.481;75:23.778;2025-07-20;M2535456990131789;Monza;
0.0;Zack;Gross;Am/reserve;27.0;Porsche 992 GT3 R;34.0;42.0;34.869;37.695;35.133;01:48.024;108024.0;01:47.697;75:37.008;2025-07-20;M2535430534227760;Monza;
0.0;Ben;Jones;Pro;80.0;BMW M4 GT3 2022;26.0;42.0;34.98;37.76;35.182;01:48.117;108117.0;01:47.922;75:40.914;2025-07-20;M2562092466593675;Monza;
0.0;Nick;Efdee;Pro;23.0;Ferrari 296 GT3;32.0;42.0;35.193;37.908;35.073;01:48.285;108285.0;01:48.174;75:47.970;2025-07-20;M2533274876472342;Monza;
0.0;Z;Keszeli;Unknown;25.0;McLaren 720S GT3 Evo;35.0;42.0;35.012;37.647;34.925;01:47.590;107590.0;01:47.584;75:18.780;2025-07-20;M2535441603635242;Monza;
